"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"f:\hobby-project\lara\Motomedic-Backend\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 9, 28
"f:\hobby-project\lara\Motomedic-Backend\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 1, 1, 25
"f:\hobby-project\lara\Motomedic-Backend\frontend\packa.old.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"f:\hobby-project\lara\Motomedic-Backend\frontend\package.json", "JSON", 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\assets\svgs\finance.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\charts\OrderSummaryChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 219, 0, 0, 0, 6, 8, 233
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\charts\OverviewChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 56, 9, 190
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\charts\ProductSellChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 3, 107
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\common\CrudOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\customer\CreateCustomer.tsx", "TypeScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 19, 4, 136
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\customer\SelectCustomer.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 2, 8, 79
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\customer\SelectCustomerOrCreate\config.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\customer\SelectCustomerOrCreate\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 0, 9, 111
